,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents By Single Year Of Age And Sex, At End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 19/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
  38 Year,59856,61494,61159,60243,60537,58416,62443,59931,61035,63813,66522,64796,63168,58940,58611,60475,60549,63712,62980,66668,65069,64181,64465,63917,63426,61854,61357,58640,56547,54986,51568,48735,45152,45328,43921,41570,41682,28288,22338,27112,23534,24242
  39 Year,60081,61081,60241,60518,58365,62341,59881,61012,63665,66457,64643,63502,59978,58811,60890,61003,64184,63157,65585,65397,64363,64674,64109,63726,62135,61585,58836,56707,55173,51817,49074,46113,45493,44022,41708,41832,28374,22406,27256,23653,24376,28387
  40 Year,59496,60080,60509,58334,62251,59810,60833,63618,66265,64578,63290,60194,59698,61075,61242,64518,63532,65759,64314,64601,64662,64220,63882,62366,61790,59020,56854,55332,52004,49260,46358,46489,44131,41855,41963,28432,22441,27375,23754,24471,28492,29115
  41 Year,58569,60227,58334,62114,59723,60665,63483,66062,64422,63171,59980,59921,61803,61296,64691,63814,65926,64430,63507,64838,64513,63969,62586,62011,59141,57036,55503,52135,49396,46513,46742,44896,41981,42103,28479,22437,27473,23804,24523,28549,29121,28237
  42 Year,58580,58093,61968,59650,60591,63367,65902,64184,62993,59858,59778,62055,61834,64753,64006,66154,64674,63549,63743,64635,64049,62721,62130,59263,57116,55660,52248,49514,46619,46905,45112,42773,42245,28514,22413,27514,23831,24563,28572,29104,28219,23156
  43 Year,56334,61660,59620,60449,63218,65813,63942,62811,59603,59601,61836,61946,65242,64009,66234,64770,63597,63718,63602,64097,62729,62185,59320,57237,55770,52352,49577,46703,47015,45237,42957,42946,28546,22402,27572,23856,24580,28592,29085,28177,23136,20952
  44 Year,59791,59231,60332,63093,65701,63790,62595,59348,59298,61615,61730,65325,64406,66230,64876,63761,63743,63601,63116,62692,62043,59325,57322,55879,52442,49618,46814,47099,45284,43086,43041,28959,22365,27628,23878,24599,28595,29045,28105,23103,20817,22629
  45 Year,57552,59925,62896,65570,63668,62487,59147,59055,61310,61505,65165,64448,66602,64807,63708,63819,63612,63095,61721,62065,59466,57317,55937,52541,49659,46857,47174,45404,43148,43105,29082,22666,27665,23870,24591,28578,28971,28022,23037,20680,22422,22981
  46 Year,58103,62527,65365,63406,62324,58992,58817,60973,61196,64870,64244,66596,65066,63567,63860,63600,63065,61682,61099,59431,57278,55905,52566,49687,46899,47203,45451,43191,43134,29144,22785,28045,23885,24595,28570,28890,27923,22988,20523,22192,23020,20448
  47 Year,60627,64961,63186,62097,58744,58594,60799,60959,64553,64046,66359,65087,63686,63699,63524,63043,61639,61053,58617,57211,55838,52541,49689,46928,47215,45466,43201,43111,29155,22845,28082,24139,24610,28557,28805,27825,22906,20356,21939,23042,20506,20546
  48 Year,63013,62836,61900,58577,58402,60596,60722,64217,63652,66015,64825,63652,63731,63323,62928,61578,60883,58502,56385,55791,52335,49610,46895,47221,45474,43182,43088,29187,22838,28080,24188,24846,28520,28725,27729,22822,20162,21680,23068,20556,20516,19501
  49 Year,60830,61491,58335,58188,60319,60514,63928,63329,65625,64489,63398,63676,63412,62682,61532,60818,58347,56339,54969,52240,49652,46828,47196,45487,43178,43061,29172,22870,28057,24211,24868,28743,28612,27630,22736,19967,21381,23084,20599,20454,19476,19486
