,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents By Single Year Of Age And Sex, At End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 19/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
  80 Year,17915,17766,17200,13998,11642,11869,13457,11985,11196,10645,9984,9913,9766,8938,8400,7420,6761,6384,6535,6389,5788,5772,5360,5511,5471,5182,5137,5036,5298,5366,4990,4771,na,na,na,na,na,na,na,na,na,2362
  81 Year,16836,16424,13378,11113,11366,12849,11424,10648,10140,9478,9395,9172,8518,7953,6967,6350,6050,6154,5849,5463,5433,4882,5058,4985,4711,4695,4648,4863,4950,4559,4387,3908,na,na,na,na,na,na,na,na,na,1784
  82 Year,15514,12695,10599,10816,12214,10863,10054,9569,8940,8888,8662,7978,7543,6561,5968,5676,5757,5442,4968,5111,4582,4609,4545,4319,4259,4226,4436,4520,4172,3981,3559,3589,na,na,na,na,na,na,na,na,na,1530
  83 Year,11942,9990,10263,11542,10232,9511,9013,8401,8346,8113,7477,7074,6147,5537,5277,5318,5060,4625,4601,4268,4298,4135,3885,3882,3806,4013,4078,3789,3633,3214,3238,3004,na,na,na,na,na,na,na,na,na,1229
  84 Year,9348,9638,10853,9634,8887,8464,7837,7815,7577,6991,6627,5702,5169,4893,4907,4679,4251,4259,3830,3982,3796,3478,3498,3398,3611,3634,3391,3252,2898,2911,2683,2254,na,na,na,na,na,na,na,na,na,1000
  85 Year,8952,10131,9032,8254,7862,7300,7181,7045,6498,6144,5322,4794,4504,4506,4299,3902,3899,3524,3550,3505,3208,3124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  86 Year,9291,8362,7637,7257,6728,6647,6493,5999,5654,4891,4418,4171,4098,3906,3548,3550,3178,3248,3078,2928,2838,2649,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  87 Year,7661,6986,6704,6152,6036,5933,5505,5161,4434,4013,3795,3753,3546,3198,3163,2897,2950,2772,2564,2540,2365,2468,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  88 Year,6323,6073,5593,5504,5389,4998,4687,4037,3601,3436,3392,3171,2881,2836,2570,2650,2499,2284,2196,2123,2191,2155,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  89 Year,5441,5034,4969,4824,4466,4208,3628,3244,3048,3019,2829,2592,2540,2288,2343,2207,1988,1950,1829,1951,1898,1696,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,639008,614368,581680,547854,516692,487570,459715,431601,404437,378636,352645,338387,330132,315790,305586,294726,279693,264541,248638,251024,243639,235296,225461,217222,209736,202912,196671,189695,182678,175856,169526,164450,158053,152688,146731,140848,135652,130222,125428,120647,116079,111933
  70 Years & Over,403617,384972,360384,335753,312723,289550,277290,270403,258620,249757,240249,226876,213874,200605,191829,185889,178605,168534,158755,161437,153963,146991,141070,135104,129412,124323,120580,117256,114157,110851,107538,104554,99755,95886,91554,87010,83355,79491,75825,71791,67638,63511
  75 Years & Over,222291,214964,210257,200207,193229,185754,174659,163588,152874,145343,140176,134258,126446,119298,113198,107572,102060,96049,88753,90795,84915,80043,77478,75248,73236,71365,69983,67973,66170,64064,61670,59507,56257,53320,49827,46053,42684,39671,37160,34694,32574,30758
  80 Years & Over,131313,123974,115657,106880,101276,97799,93448,87294,82255,77668,73267,69080,64956,60297,56466,53159,50459,48174,45890,44965,42414,40399,39527,38826,37795,36708,35805,34567,33202,31262,29195,27171,na,na,na,na,na,na,na,na,na,12438
  85 Years & Over,59758,57461,53364,49777,46935,44243,41663,38876,36056,33553,31122,29241,27813,26415,24947,23716,22580,21310,20107,19752,18517,17523,17182,16731,15936,14957,14116,13107,12252,11231,10339,9645,na,na,na,na,na,na,na,na,na,4533
  90 Years & Over,22090,20875,19429,17786,16454,15157,14169,13390,12821,12050,11366,10760,10244,9681,9024,8510,8066,7532,6890,6705,6017,5431,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Singapore Male Residents,1953114,1977556,1969382,1955838,1943545,1929526,1916628,1902410,1891504,1880046,1868170,1861133,1844732,1802992,1775477,1748242,1721139,1695031,1673401,1684295,1658558,1634667,1614804,1591816,1565750,1540018,1514015,1489180,1464223,1439063,1414307,1386291,1341275,1316577,1294187,1276522,1258464,1239109,1220471,1200321,1179799,1159011
  0 Year,16239,17041,16731,16760,17118,17745,17749,16781,17545,17112,16076,16693,17981,19210,18443,18229,17993,17724,18855,19375,21753,21166,21591,23122,23725,24105,24700,25269,25309,24571,26142,24224,26297,24174,20389,21289,21983,20736,21942,21443,20982,18593
  1 Year,18411,17980,18136,18501,19328,19251,18345,19171,18544,17665,18181,19549,20803,19888,19680,19507,19158,20050,20607,23206,22625,22030,23592,24160,24489,25081,25621,25605,24837,26292,24435,26540,23864,19872,20581,21217,20052,21332,20965,20764,18830,19491
  2 Year,18236,18582,19036,19891,19887,18814,19704,18922,18013,18790,19682,21049,20682,19929,19923,19639,20477,20860,23399,23154,22359,23852,24429,24793,25303,25868,25808,24999,26468,24624,26734,24110,19940,20654,21258,20092,21415,21038,20851,19099,19624,18526
  3 Year,18738,19327,20231,20262,19224,20107,19409,18287,19124,20080,21087,20853,20582,20061,19947,20855,21196,23651,23153,22646,24048,24613,24999,25523,26066,26044,25154,26607,24809,26913,24286,20186,20740,21316,20143,21452,21108,20917,19338,19756,18660,20063
  4 Year,19419,20458,20532,19502,20484,19761,18645,19367,20294,21277,20859,20746,20651,20059,21098,21500,23854,23323,22539,24324,24748,25095,25697,26300,26252,25277,26749,24997,27060,24405,20316,20954,21398,20214,21505,21137,20985,19564,19872,18794,20187,20021
  5 Year,20415,20679,19760,20776,20027,18914,19647,20423,21313,21041,20778,20755,20560,21192,21709,24101,23580,22705,23958,25008,25322,25794,26473,26497,25457,26886,25196,27199,24493,20459,21114,21629,20309,21643,21266,21092,19735,19959,18887,20295,20074,20269
  6 Year,20580,19943,21060,20271,19208,19927,20649,21460,21045,20860,20781,20698,21645,21863,24408,23903,22952,24366,24845,25692,26068,26558,26644,25610,27048,25389,27324,24592,20532,21224,21773,20485,21694,21290,21106,19938,20048,18986,20396,20117,20365,21985
  7 Year,19819,21153,20449,19366,20135,20815,21537,21076,20856,20829,20670,21694,22193,24582,24081,23227,24634,25181,25667,26313,26790,26741,25697,27216,25572,27421,24682,20623,21287,21867,20597,21880,21302,21134,20145,20134,19086,20489,20155,20460,22071,23771
  8 Year,20914,20520,19415,20270,20918,21622,21145,20849,20758,20668,21648,22198,24862,24156,23326,24777,25302,25777,26158,26880,26728,25732,27330,25766,27571,24769,20690,21360,21942,20666,21992,21440,21157,20350,20218,19172,20579,20183,20538,22148,23850,23103
  9 Year,20252,19434,20367,20953,21722,21148,20883,20780,20614,21635,22170,24870,24423,23393,24836,25424,25866,26207,26669,26824,25878,27375,25869,27700,24863,20774,21439,22034,20712,22078,21571,21289,20551,20309,19265,20663,20207,20618,22216,23923,23163,22887
  10 Year,19210,20378,21059,21768,21206,20870,20726,20604,21581,22109,24812,24463,23625,24989,25482,25957,26309,26726,26671,25944,27437,25957,27778,24966,20899,21509,22109,20762,22135,21656,21430,20863,20387,19357,20744,20227,20699,22283,23986,23220,22914,21189
  11 Year,20103,20993,21770,21160,20876,20710,20576,21509,22071,24762,24314,23618,25174,25555,26004,26358,26760,26662,25803,27509,25981,27832,25008,20985,21621,22194,20808,22211,21721,21523,20989,20582,19449,20836,20247,20772,22352,24051,23267,22939,21271,21656
  12 Year,20646,21678,21205,20826,20745,20560,21482,22048,24685,24310,23541,25138,25776,26119,26344,26790,26723,25787,27278,26020,27826,25037,21032,21712,22266,20870,22254,21785,21592,21057,20686,19665,20925,20271,20843,22412,24106,23318,22958,21348,21686,23387
  13 Year,21349,21093,20900,20703,20596,21467,22032,24629,24202,23510,25073,25757,26303,26512,26820,26759,25846,27268,25873,27871,25136,21062,21743,22349,20911,22310,21831,21646,21090,20744,19738,21119,20291,20918,22474,24162,23362,22975,21420,21718,23401,24315
  14 Year,20804,20825,20727,20569,21462,21982,24585,24169,23461,25006,25698,26295,26653,26953,26755,25884,27321,25881,27787,25158,21075,21751,22375,20965,22359,21873,21668,21104,20763,19760,21191,20425,20984,22533,24211,23391,22975,21476,21733,23399,24311,26294
  15 Year,20518,20667,20711,21533,22084,24626,24200,23479,24969,25687,26244,26666,27064,26969,25893,27358,25919,27798,25068,21114,21777,22383,20984,22396,21908,21689,21107,20791,19759,21225,20459,21151,22588,24257,23412,22967,21524,21739,23379,24301,26245,26571
  16 Year,20355,20550,21541,22039,24608,24176,23429,24927,25590,26170,26592,27044,27007,25989,27286,25894,27772,24948,20967,21783,22299,20951,22377,21914,21685,21090,20770,19743,21220,20439,21169,22836,24289,23431,22961,21560,21741,23369,24285,26204,26527,28089
  17 Year,20296,21561,22123,24666,24225,23474,24958,25560,26079,26520,26940,26950,26047,27381,25853,27719,24892,20857,21616,22221,20936,22290,21875,21643,21049,20741,19694,21201,20397,21126,22798,24523,23430,22931,21593,21729,23338,24250,26139,26467,28030,27704
  18 Year,21524,22206,24821,24273,23544,24996,25600,26057,26473,26869,26880,25953,27393,25951,27673,24862,20814,21511,21984,20844,22184,21806,21590,20985,20698,19658,21177,20371,21090,22719,24465,23613,22894,21618,21717,23299,24220,26074,26392,27960,27644,27984
  19 Year,22234,24884,24359,23591,25039,25639,26100,26491,26878,26860,25923,27390,25943,27710,24877,20816,21496,21957,20701,22138,21732,21572,20952,20689,19662,21203,20374,21081,22710,24431,23598,23091,21648,21706,23276,24178,26007,26323,27896,27579,27929,28902
  20 Year,24865,24372,23578,25030,25624,26104,26499,26872,26813,25909,27378,25950,27796,24936,20900,21589,22005,20597,21768,21776,21546,21007,20728,19745,21356,20524,21201,22855,24612,23757,23255,22022,21737,23248,24153,25948,26260,27835,27517,27888,28865,29176
  21 Year,24228,23519,24969,25563,26019,26447,26803,26746,25847,27327,25891,27820,25108,21041,21729,22186,20820,21811,21257,21701,21147,20862,19909,21500,20656,21442,23065,24816,23989,23513,22284,22313,23278,24152,25900,26212,27792,27480,27871,28838,29157,28807
  22 Year,23218,24909,25516,25969,26359,26690,26694,25775,27250,25860,27748,25289,21350,21958,22451,21163,22462,21764,21227,21518,21127,20256,21830,20903,21731,23418,25122,24313,23892,22625,22627,24199,24204,25920,26192,27744,27451,27849,28831,29164,28841,27995
  23 Year,24636,25570,26059,26395,26791,26748,25855,27314,25951,27917,25366,21720,22617,22964,21734,23038,22575,21859,21366,21763,20702,22319,21329,22147,23772,25539,24714,24258,23076,23055,24714,25476,26090,26346,27822,27517,27965,28946,29282,29014,28201,27652
  24 Year,25362,26247,26642,26999,27032,26057,27642,26195,28173,25662,21862,23163,24078,22569,23788,23291,22747,22125,21790,21506,22914,21805,22635,24241,26061,25207,24691,23469,23545,25267,25945,27591,26662,28065,27649,28089,29118,29468,29247,28471,27992,26238
  25 Year,26264,27041,27479,27500,26612,28068,26759,28723,26183,22223,23331,24663,23918,24652,24124,23380,22813,22439,21687,23790,22475,23037,24737,26544,25690,25203,23871,23885,25738,26372,28039,28144,28411,27999,28296,29306,29710,29546,28802,28423,26725,25572
  26 Year,27118,28034,28053,27211,28767,27261,29430,26697,22733,23713,24773,24398,26166,25150,24225,23475,23004,22111,23840,23283,23629,25086,26981,26194,25700,24359,24281,26062,26695,28423,28543,29623,28247,28601,29491,29876,29789,29065,28770,27129,26019,25305
  27 Year,28203,28546,27839,29436,27937,29950,27367,23194,24185,25080,24526,26670,27022,25370,24376,23752,22702,24313,23427,24365,25592,27291,26647,26236,24895,24762,26441,26966,28771,28880,29987,29328,28813,29687,29979,29901,29219,28988,27400,26322,25668,23551
  28 Year,28639,28293,30040,28488,30658,27847,23744,24652,25601,24896,26750,27664,27319,25610,24770,23456,25024,23847,24582,26346,27700,26917,26694,25446,25283,26933,27287,29074,29160,30311,29672,29846,29850,30098,29999,29311,29141,27604,26545,25957,23870,22306
  29 Year,28324,30468,29054,31123,28453,24117,25204,26038,25311,27144,27752,27904,27597,25973,24496,25913,24688,25027,26439,28471,27365,26954,25908,25842,27453,27716,29429,29464,30632,30000,30163,30810,30196,30124,29390,29249,27774,26731,26199,24122,22583,21293
  30 Year,30412,29386,31696,28856,24551,25567,26420,25604,27547,28045,27958,28096,27754,25694,26994,25555,25970,26889,28470,28078,27361,26156,26244,27919,28178,29906,29802,30884,30329,30408,31047,31076,30248,29479,29356,27886,26885,26414,24333,22817,21531,21813
  31 Year,29242,31911,29276,24870,26016,26758,25903,27854,28368,28202,28098,28292,27230,27949,26494,26769,27736,28925,28007,28003,26469,26489,28331,28654,30356,30281,31259,30621,30650,31255,31284,31149,29543,29495,28012,27005,26604,24548,23025,21750,22002,21527
  32 Year,31649,29506,25195,26276,27010,26120,28128,28551,28435,28211,28308,27706,29527,27296,27630,28502,29694,28428,27899,27013,26708,28518,29052,30842,30679,31684,30928,30869,31407,31465,31375,30303,29654,28164,27132,26753,24751,23219,21950,22171,21681,20206
  33 Year,29190,25470,26555,27227,26336,28263,28777,28524,28327,28425,27685,29953,28629,28364,29229,30443,29125,28213,26885,27192,28905,29256,31191,31121,32061,31323,31138,31590,31571,31544,30487,30436,28329,27265,26906,24920,23382,22130,22318,21804,20351,20293
  34 Year,25188,26749,27486,26546,28465,28888,28619,28421,28585,27803,29898,29001,29536,29841,31144,29762,28939,27193,27032,29293,29521,31408,31494,32512,31678,31412,31780,31720,31651,30625,30634,29169,27445,27082,25088,23535,22281,22442,21895,20491,20447,13978
  35 Year,26466,27649,26749,28561,28999,28673,28499,28608,27833,29941,29013,29777,30825,31610,30351,29461,27676,27296,29071,29842,31645,31684,32800,32054,31641,31989,31862,31772,30771,30749,29341,28180,27247,25286,23690,22437,22572,22003,20623,20604,14099,10995
  36 Year,27346,26862,28721,29075,28731,28562,28669,27846,29980,28963,29723,31021,32512,30775,29942,28073,27699,29227,29560,31969,31790,32980,32334,31889,32176,32076,31894,30855,30870,29439,28351,27963,25472,23865,22589,22663,22097,20730,20732,14205,11084,13392
  37 Year,26516,28801,29210,28760,28594,28618,27852,29923,28911,29739,30995,32659,31643,30251,28458,28125,29595,29753,31653,32046,33252,32543,32098,32382,32204,32051,30998,30982,29539,28450,28158,26143,24038,22754,22765,22152,20820,20853,14289,11160,13500,11753
  38 Year,28333,29222,28825,28636,28646,27826,29912,28868,29721,31030,32622,31805,30877,28685,28459,29930,30052,31841,31677,33450,32667,32227,32516,32370,32165,31199,31054,29616,28535,28221,26325,24683,22909,22874,22216,20895,20959,14363,11214,13596,11854,12096
  39 Year,28684,28823,28613,28629,27806,29874,28863,29714,30963,32579,31744,31056,29252,28590,30190,30295,32095,31762,33002,32822,32309,32603,32439,32305,31330,31152,29688,28583,28279,26419,24841,23454,22988,22289,20969,21040,14412,11268,13689,11927,12181,14081
  40 Year,28224,28607,28648,27770,29754,28805,29586,30933,32468,31665,30940,29376,29031,30336,30444,32296,31951,33077,32351,32439,32605,32477,32380,31422,31224,29778,28616,28331,26488,24930,23596,23574,22364,21044,21113,14448,11295,13757,11989,12242,14155,14447
  41 Year,27997,28553,27776,29695,28724,29496,30801,32388,31602,30796,29260,29161,30737,30532,32453,32124,33180,32425,31971,32709,32634,32396,31533,31296,29805,28706,28376,26528,24969,23654,23708,22820,21102,21180,14472,11295,13812,12022,12277,14195,14466,13902
  42 Year,27882,27655,29618,28645,29404,30730,32276,31467,30747,29197,29074,30828,30797,32467,32254,33289,32564,31985,32267,32707,32436,31588,31357,29837,28707,28439,26578,25001,23696,23756,22930,21588,21248,14506,11294,13842,12045,12310,14231,14481,13913,11709
  43 Year,26961,29517,28611,29321,30624,32220,31312,30610,29065,28952,30709,30862,32708,32264,33367,32649,32032,32263,32255,32470,31591,31366,29843,28719,28477,26613,25011,23712,23784,22993,21694,21682,14524,11282,13865,12058,12323,14254,14487,13897,11700,10671
  44 Year,28750,28469,29216,30543,32135,31215,30485,28922,28809,30603,30695,32768,32491,33397,32711,32141,32270,32231,32045,31584,31307,29813,28748,28518,26631,24999,23752,23785,22977,21755,21744,14788,11264,13898,12078,12334,14257,14482,13872,11686,10620,11404
  45 Year,27737,29046,30432,32084,31129,30367,28813,28633,30436,30577,32636,32495,33558,32701,32139,32319,32225,32017,31144,31307,29879,28713,28525,26656,24998,23750,23815,23040,21771,21773,14842,11455,13923,12081,12330,14257,14459,13837,11654,10570,11334,11485
  46 Year,28292,30290,31974,30988,30289,28701,28518,30222,30433,32501,32376,33550,32850,32036,32351,32224,31980,31123,30841,29852,28723,28489,26658,24979,23756,23787,23037,21773,21764,14852,11526,14172,12096,12344,14258,14427,13785,11629,10499,11231,11489,10173
  47 Year,29440,31778,30871,30151,28568,28401,30124,30315,32326,32297,33407,32839,32091,32253,32164,31974,31107,30821,29483,28673,28457,26635,24981,23750,23764,23014,21744,21731,14834,11536,14195,12264,12355,14265,14389,13735,11586,10420,11124,11490,10209,10472
  48 Year,30939,30692,30059,28458,28274,29983,30181,32136,32078,33249,32679,32082,32292,32093,31890,31072,30685,29404,28319,28423,26534,24921,23726,23765,22992,21711,21678,14835,11522,14183,12277,12505,14243,14353,13692,11535,10320,11008,11484,10235,10450,9944
  49 Year,29794,29884,28301,28130,29835,30065,31971,31888,33039,32498,31904,32271,32114,31766,31049,30657,29346,28244,28044,26472,24943,23687,23748,22990,21687,21644,14804,11520,14149,12269,12513,14396,14294,13646,11483,10229,10873,11482,10262,10416,9914,10043
  50 Year,28957,28081,27946,29677,29864,31802,31696,32829,32267,31745,32106,31971,31693,30884,30553,29302,28164,27954,25697,24884,23598,23668,22941,21612,21592,14760,11510,14101,12260,12486,14370,14410,13551,11425,10106,10734,11443,10263,10353,9848,9966,10258
  51 Year,27228,27771,29527,29673,31585,31483,32617,32016,31502,31862,31798,31522,30842,30434,29256,28089,27806,25674,24102,23515,23583,22853,21544,21515,14713,11462,14039,12221,12451,14308,14376,13602,11351,9991,10614,11407,10256,10301,9785,9889,10174,9896
  52 Year,26911,29321,29511,31422,31323,32409,31794,31288,31620,31582,31367,30514,30300,29133,27973,27712,25592,24084,22787,23486,22671,21415,21413,14652,11416,13981,12192,12385,14245,14289,13543,11376,9867,10471,11363,10258,10243,9754,9824,10113,9822,9354
  53 Year,28421,29273,31198,31155,32209,31594,31104,31425,31407,31216,30316,29981,29041,27832,27595,25541,23990,22742,22794,22547,21389,21323,14574,11362,13897,12119,12310,14155,14210,13483,11334,9836,10350,11322,10260,10174,9701,9752,10017,9732,9301,8843
  54 Year,28391,30937,30939,31981,31405,30914,31254,31176,30993,30156,29837,28733,27728,27430,25429,23899,22627,22729,21977,21287,21182,14507,11300,13793,12056,12224,14079,14127,13418,11262,9786,10298,11272,10241,10089,9654,9655,9911,9639,9219,8789,8185
  55 Year,29933,30692,31764,31162,30704,31119,30964,30810,29962,29677,28550,27385,27356,25349,23809,22586,22624,21900,20683,21036,14384,11228,13708,11982,12115,13998,14001,13338,11199,9723,10200,11292,10193,9993,9597,9550,9787,9543,9115,8717,8105,7814
  56 Year,29665,31455,30941,30514,30880,30740,30606,29776,29456,28337,27206,27062,25245,23624,22477,22497,21768,20607,20428,14264,11099,13591,11900,12014,13891,13872,13218,11131,9647,10148,11204,10237,9903,9512,9447,9662,9437,9025,8641,8005,7728,7367
  57 Year,30441,30653,30281,30680,30493,30344,29561,29229,28128,27004,26895,25065,23521,22288,22410,21641,20470,20315,13766,11018,13531,11828,11897,13792,13765,13110,11029,9563,10029,11069,10127,9874,9419,9348,9532,9287,8896,8567,7905,7645,7287,7157
  58 Year,29644,30001,30461,30247,30149,29318,29011,27938,26777,26667,24878,23340,22173,22284,21496,20293,20144,13698,10637,13390,11714,11772,13648,13615,12988,10910,9482,9944,10963,10010,9745,9366,9229,9387,9156,8786,8457,7798,7565,7194,7054,6769
  59 Year,29147,30159,30030,29925,29094,28794,27718,26563,26490,24694,23188,21970,22153,21333,20144,19998,13570,10579,12934,11613,11630,13515,13436,12846,10799,9358,9830,10841,9898,9630,9254,9141,9242,9013,8673,8355,7669,7434,7070,6951,6681,6699
  60 Year,29265,29733,29703,28873,28539,27430,26319,26243,24469,22976,21803,21947,21211,19986,19878,13455,10458,12867,11160,11482,13326,13262,12698,10674,9253,9695,10712,9774,9504,9168,9001,9147,8845,8535,8228,7566,7317,6953,6819,6581,6560,6650
  61 Year,28835,29371,28616,28294,27203,26060,26022,24241,22770,21605,21737,20985,19849,19684,13321,10397,12740,11096,11061,13130,13116,12526,10540,9123,9554,10557,9625,9382,9012,8811,8987,8703,8378,8130,7455,7177,6836,6700,6496,6435,6501,6111
  62 Year,28494,28318,28043,26993,25817,25795,24036,22527,21409,21511,20805,19654,19505,13173,10310,12624,10996,10932,12583,12932,12335,10382,8985,9382,10407,9475,9219,8869,8650,8843,8529,8261,8006,7320,7050,6718,6560,6395,6292,6327,5957,5870
  63 Year,27437,27686,26689,25534,25539,23779,22315,21172,21258,20580,19408,19285,13074,10151,12467,10855,10805,12471,12390,12171,10229,8840,9209,10241,9302,9082,8716,8496,8666,8378,8105,7920,7175,6916,6590,6427,6263,6125,6143,5795,5708,5495
  64 Year,26858,26363,25273,25234,23491,22066,20968,21034,20335,19109,19046,12925,10070,12262,10706,10650,12288,12257,11654,10054,8684,9013,10067,9142,8893,8556,8335,8505,8208,7910,7754,7064,6763,6453,6281,6143,5974,5945,5623,5554,5345,5036
  65 Year,25533,24940,24947,23239,21797,20715,20764,20054,18864,18794,12765,9903,12130,10560,10484,12112,12051,11470,9657,8511,8845,9870,8965,8736,8397,8158,8323,8023,7722,7567,6917,6634,6298,6138,6047,5793,5775,5437,5387,5177,4885,5062
  66 Year,24139,24584,22979,21507,20416,20457,19769,18607,18502,12539,9777,11963,10411,10299,11920,11835,11290,9469,8148,8666,9652,8791,8560,8234,7964,8112,7839,7512,7377,6739,6458,6186,5973,5918,5626,5605,5259,5208,5030,4708,4884,4645
  67 Year,23823,22604,21232,20165,20171,19531,18316,18216,12349,9606,11767,10261,10136,11693,11624,11100,9264,7997,8239,9416,8570,8366,8038,7734,7895,7644,7292,7165,6555,6303,6010,5830,5782,5422,5427,5088,5027,4893,4551,4694,4480,4742
  68 Year,21871,20915,19902,19908,19228,18030,17938,12124,9436,11570,10065,9940,11509,11393,10878,9082,7787,8075,8968,8339,8109,7843,7520,7654,7440,7084,6938,6403,6141,5808,5612,5687,5231,5231,4901,4840,4741,4378,4512,4314,4525,4561
  69 Year,20229,19566,19595,18939,17739,17616,11910,9284,11374,9863,9741,11254,11164,10615,8867,7591,7878,8764,7880,7832,7629,7283,7402,7198,6881,6738,6210,5942,5621,5376,5431,5054,5021,4701,4668,4574,4212,4314,4154,4322,4369,4367
  70 Year,18868,19220,18654,17422,17246,11696,9093,11120,9631,9484,10984,10921,10408,8666,7425,7671,8486,7657,7320,7397,7030,7151,6970,6659,6535,6022,5736,5415,5155,5180,4808,4815,4470,4480,4411,4073,4140,3977,4121,4169,4145,3897
  71 Year,18538,18289,17051,16911,11444,8889,10889,9411,9268,10729,10660,10131,8476,7246,7466,8255,7433,7085,6855,6781,6892,6796,6406,6328,5834,5510,5207,4910,4926,4583,4580,4301,4285,4241,3918,3925,3823,3945,3980,3925,3693,3325
  72 Year,17574,16677,16493,11169,8664,10636,9182,9017,10427,10368,9837,8257,7047,7227,7988,7209,6831,6666,6242,6615,6516,6166,6093,5596,5306,4962,4659,4671,4336,4346,4083,4114,4048,3761,3742,3646,3741,3788,3697,3466,3142,3161
  73 Year,15936,16087,10866,8427,10394,8973,8767,10137,10077,9551,8024,6822,6982,7700,6942,6594,6401,6026,6004,6210,5889,5881,5355,5099,4735,4379,4403,4091,4099,3839,3880,3875,3597,3547,3485,3566,3600,3501,3247,2964,2959,2597
  74 Year,15421,10546,8170,10100,8715,8497,9848,9753,9260,7758,6630,6756,7444,6669,6363,6141,5756,5715,5634,5618,5584,5128,4868,4506,4113,4120,3845,3850,3606,3631,3662,3408,3360,3310,3353,3388,3293,3038,2769,2748,2447,2227
  75 Year,10039,7909,9806,8472,8214,9545,9413,8949,7510,6390,6528,7123,6416,6113,5886,5522,5467,5316,4575,5290,4874,4647,4279,3840,3813,3582,3564,3370,3384,3421,3211,3158,na,na,na,na,na,na,na,na,na,2025
  76 Year,7550,9487,8218,7915,9232,9088,8599,7255,6172,6295,6809,6104,5850,5590,5279,5202,5057,4458,4191,4627,4374,4041,3577,3538,3361,3292,3136,3175,3165,2994,2923,2964,na,na,na,na,na,na,na,na,na,1672
  77 Year,9039,7900,7659,8919,8731,8288,6994,5900,6023,6524,5806,5558,5317,4999,4906,4800,4242,4078,3509,4118,3796,3304,3274,3129,3033,2873,2934,2941,2745,2711,2736,2764,na,na,na,na,na,na,na,na,na,1583
  78 Year,7467,7322,8537,8366,7974,6674,5668,5779,6217,5533,5275,5005,4763,4641,4526,4032,3833,3411,3087,3544,3114,3005,2876,2783,2627,2698,2671,2522,2502,2516,2561,2678,na,na,na,na,na,na,na,na,na,1347
  79 Year,6901,8155,7981,7616,6373,5381,5452,5870,5242,4973,4705,4424,4399,4246,3773,3623,3213,3007,2750,2914,2817,2607,2555,2417,2463,2430,2321,2287,2296,2345,2448,2335,na,na,na,na,na,na,na,na,na,1123
  80 Year,7652,7549,7281,6065,5113,5169,5542,4922,4704,4443,4161,4065,3975,3510,3355,2988,2818,2649,2610,2633,2396,2311,2183,2235,2188,2114,2092,2077,2137,2202,2099,1969,na,na,na,na,na,na,na,na,na,930
  81 Year,7034,6835,5722,4811,4874,5236,4637,4394,4156,3889,3788,3635,3303,3130,2758,2594,2472,2421,2334,2207,2128,1930,2012,1939,1889,1851,1873,1929,2002,1877,1783,1579,na,na,na,na,na,na,na,na,na,620
  82 Year,6369,5348,4533,4603,4904,4340,4075,3875,3611,3530,3370,3014,2914,2565,2365,2262,2207,2141,1964,1976,1779,1793,1731,1699,1642,1657,1732,1790,1693,1593,1425,1462,na,na,na,na,na,na,na,na,na,535
  83 Year,4955,4204,4293,4576,4016,3813,3601,3335,3250,3093,2778,2686,2346,2150,2050,2006,1939,1800,1705,1626,1632,1538,1485,1463,1463,1551,1585,1517,1436,1245,1296,1161,na,na,na,na,na,na,na,na,na,432
  84 Year,3876,3950,4248,3724,3493,3326,3077,2989,2851,2541,2461,2132,1980,1845,1784,1751,1610,1551,1405,1487,1374,1300,1301,1277,1359,1388,1328,1253,1107,1159,1028,857,na,na,na,na,na,na,na,na,na,318
  85 Year,3589,3887,3432,3199,3030,2807,2682,2606,2325,2220,1963,1817,1654,1595,1574,1446,1385,1272,1284,1255,1163,1154,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
