Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
    HDB 5-Room And Executive Flats,"57,610","55,479","53,159","50,405","48,029","45,863","41,764","36,424","32,616","28,147","24,188","23,637","24,050","23,435","22,770","21,397","19,615","18,249","16,623","15,971","15,643","14,961"
  Condominiums & Other Apartments,"21,374","20,783","19,671","18,789","18,007","16,736","15,103","13,213","11,333","9,527","8,089","7,507","7,362","7,268","7,153","6,745","5,969","5,161","4,423","4,396","4,108","3,724"
  Landed Properties,"16,812","17,033","16,892","16,606","16,439","16,342","15,292","13,729","12,513","11,218","9,888","9,526","9,848","9,596","9,627","9,466","9,155","8,727","8,273","8,444","8,445","8,381"
  Other Types Of Dwelling,"2,957","2,935","2,886","2,802","2,612","2,609","2,421","2,203","2,043","1,812","1,692","1,739","1,889","1,926","1,629","1,565","1,514","1,376","1,385","1,606","1,793","1,982"
70-74 Years,"181,326","170,008","150,127","135,546","119,494","103,796","102,631","106,815","105,746","104,414","100,073","92,618","87,428","81,307","78,631","78,317","76,545","72,485","70,002","70,642","69,048","66,948"
  Total HDB Dwellings,"147,919","137,939","121,738","109,823","96,995","84,462","84,178","87,994","87,588","86,768","83,082","76,784","72,454","67,366","65,404","65,303","63,895","60,638","58,325","58,231","56,806","55,028"
    HDB 1- And 2-Room Flats,"14,517","13,389","11,608","10,435","9,061","7,774","7,620","7,858","7,819","7,804","7,427","6,923","6,664","6,356","6,330","6,433","6,326","6,126","5,940","6,388","6,250","6,372"
    HDB 3-Room Flats,"36,208","34,498","31,302","29,048","26,170","23,169","23,651","25,391","26,005","26,361","25,898","24,311","22,818","21,115","20,407","20,213","19,796","19,058","18,332","18,054","17,823","17,500"
    HDB 4-Room Flats,"56,309","52,127","45,727","41,009","36,278","31,278","31,086","32,357","31,852","31,289","29,648","27,130","25,617","23,978","23,407","23,593","23,237","21,965","21,177","20,989","20,252","19,361"
    HDB 5-Room And Executive Flats,"40,885","37,925","33,101","29,331","25,486","22,095","21,671","22,224","21,695","21,065","19,860","18,172","17,129","15,722","15,024","14,858","14,347","13,331","12,680","12,552","12,186","11,494"
  Condominiums & Other Apartments,"15,722","15,054","13,305","11,883","10,080","8,228","7,614","7,491","7,166","6,734","6,365","5,705","5,152","4,671","4,496","4,223","3,886","3,516","3,332","3,440","3,244","2,984"
  Landed Properties,"14,565","14,054","12,501","11,473","10,376","9,217","8,872","9,180","8,897","8,842","8,570","8,272","7,959","7,499","7,346","7,370","7,220","6,961","6,887","7,186","6,994","6,786"
  Other Types Of Dwelling,"3,120","2,961","2,583","2,367","2,043","1,889","1,967","2,150","2,095","2,070","2,056","1,857","1,863","1,771","1,385","1,421","1,544","1,370","1,458","1,785","2,004","2,150"
75-79 Years,"90,978","90,990","94,600","93,327","91,953","87,955","81,211","76,294","70,619","67,675","66,909","65,178","61,490","59,001","56,732","54,413","51,601","47,875","42,863","45,830","42,501","39,644"
  Total HDB Dwellings,"73,134","73,394","76,526","75,648","74,697","71,583","66,019","62,050","57,446","55,218","54,675","53,333","50,092","47,787","46,288","44,335","41,998","39,539","35,465","37,234","34,493","32,314"
    HDB 1- And 2-Room Flats,"7,440","7,377","7,791","7,665","7,619","7,205","6,664","6,113","5,777","5,540","5,494","5,314","5,149","5,038","4,958","4,690","4,404","4,128","3,571","4,491","4,090","3,819"
    HDB 3-Room Flats,"19,769","20,234","21,606","21,850","21,805","21,281","19,760","18,562","17,148","16,629","16,466","16,059","14,920","14,050","13,512","12,909","12,224","11,734","10,593","11,125","10,487","9,967"
    HDB 4-Room Flats,"26,900","26,905","27,926","27,409","26,897","25,498","23,323","21,987","20,419","19,681","19,696","19,385","18,150","17,392","16,701","16,158","15,306","14,466","13,095","13,135","12,032","11,199"
    HDB 5-Room And Executive Flats,"19,025","18,878","19,203","18,724","18,376","17,487","16,174","15,291","13,978","13,244","12,919","12,457","11,759","11,191","10,970","10,437","9,925","9,082","8,069","8,300","7,659","7,094"
  Condominiums & Other Apartments,"7,500","7,268","7,311","7,128","6,823","6,199","5,664","5,082","4,491","4,118","3,850","3,552","3,316","3,217","3,209","3,042","2,809","2,372","2,047","2,288","2,059","1,789"
  Landed Properties,"8,057","7,927","8,169","7,892","7,917","7,736","7,367","7,068","6,711","6,434","6,396","6,284","6,057","6,002","5,820","5,581","5,291","4,749","4,239","4,650","4,437","4,242"
  Other Types Of Dwelling,"2,287","2,401","2,594","2,659","2,516","2,437","2,161","2,094","1,971","1,905","1,988","2,009","2,025","1,995","1,415","1,455","1,503","1,215","1,112","1,658","1,512","1,299"
80-84 Years,"71,555","66,513","62,293","57,103","54,341","53,556","51,785","48,418","46,199","44,115","42,145","39,839","37,143","33,882","31,519","29,443","27,879","26,864","25,783","25,213","23,897","22,876"
  Total HDB Dwellings,"56,793","52,601","49,238","45,012","43,021","42,687","41,364","38,433","36,452","34,738","33,086","31,332","29,116","26,570","25,134","23,407","22,107","21,667","20,888","20,309","19,172","18,404"
    HDB 1- And 2-Room Flats,"5,936","5,598","5,209","4,828","4,559","4,500","4,385","4,006","3,825","3,577","3,396","3,196","2,996","2,668","2,594","2,484","2,381","2,356","2,315","2,383","2,163","2,088"
    HDB 3-Room Flats,"16,649","15,381","14,414","13,148","12,554","12,322","11,826","10,972","10,240","9,808","9,382","8,868","8,199","7,359","7,026","6,480","6,171","6,256","6,077","5,872","5,809","5,755"
    HDB 4-Room Flats,"20,233","18,664","17,442","16,036","15,400","15,424","15,055","13,999","13,342","12,660","12,034","11,442","10,684","9,780","9,210","8,448","7,963","7,776","7,438","7,154","6,629","6,255"
    HDB 5-Room And Executive Flats,"13,975","12,958","12,173","11,000","10,508","10,393","10,058","9,406","8,983","8,616","8,191","7,732","7,138","6,671","6,194","5,895","5,499","5,201","4,975","4,784","4,420","4,164"
  Condominiums & Other Apartments,"5,283","4,971","4,553","4,069","3,761","3,395","3,151","2,860","2,705","2,552","2,497","2,246","2,062","1,890","1,837","1,686","1,540","1,441","1,344","1,312","1,214","1,110"
  Landed Properties,"6,479","6,255","5,925","5,621","5,411","5,318","5,216","5,099","5,005","4,814","4,524","4,249","3,922","3,559","3,370","3,177","3,085","2,952","2,829","2,829","2,741","2,598"
  Other Types Of Dwelling,"3,000","2,686","2,577","2,401","2,148","2,156","2,054","2,026","2,037","2,011","2,038","2,012","2,043","1,863","1,178","1,173","1,147",804,722,763,770,764
85-89 Years,"37,668","36,586","33,935","31,991","30,481","29,086","27,494","25,486","23,235","21,503","19,756","18,481","17,569","16,734","15,923","15,206","14,514","13,778","13,217","13,047","12,500","12,092"
  Total HDB Dwellings,"28,793","27,997","25,905","24,217","23,120","22,030","20,791","19,121","17,480","16,192","14,816","13,844","13,011","12,456","12,296","11,606","11,039","10,869","10,485","10,252","9,840","9,529"
    HDB 1- And 2-Room Flats,"2,991","2,928","2,690","2,541","2,440","2,261","2,131","1,963","1,794","1,645","1,517","1,384","1,328","1,334","1,371","1,336","1,279","1,316","1,241","1,256","1,204","1,226"
    HDB 3-Room Flats,"8,246","7,946","7,271","6,676","6,331","6,012","5,614","5,132","4,657","4,380","4,045","3,836","3,577","3,432","3,380","3,166","3,093","3,151","3,104","3,054","2,929","2,910"
    HDB 4-Room Flats,"10,503","10,266","9,572","9,003","8,515","8,098","7,643","7,054","6,436","5,970","5,361","4,980","4,685","4,518","4,407","4,135","3,886","3,772","3,554","3,484","3,332","3,145"
    HDB 5-Room And Executive Flats,"7,053","6,857","6,372","5,997","5,834","5,633","5,380","4,947","4,549","4,150","3,846","3,591","3,377","3,136","3,083","2,913","2,728","2,586","2,532","2,399","2,304","2,170"
  Condominiums & Other Apartments,"2,571","2,425","2,215","2,150","1,986","1,865","1,693","1,562","1,379","1,266","1,132","1,000",963,977,988,938,865,748,660,672,595,555
  Landed Properties,"3,934","3,854","3,735","3,605","3,465","3,274","3,060","2,834","2,566","2,348","2,188","2,105","2,053","1,937","1,886","1,850","1,717","1,574","1,516","1,578","1,512","1,452"
  Other Types Of Dwelling,"2,370","2,310","2,080","2,019","1,910","1,917","1,950","1,969","1,810","1,697","1,620","1,532","1,542","1,364",753,812,893,587,556,545,553,556
90 Years & Over,"22,090","20,875","19,429","17,786","16,454","15,157","14,169","13,390","12,821","12,050","11,366","10,760","10,244","9,681","9,024","8,510","8,066","7,532","6,890","6,705","6,017","5,431"
  Total HDB Dwellings,"15,440","14,636","13,540","12,414","11,462","10,404","9,732","9,138","8,748","8,158","7,568","7,141","6,729","6,410","6,451","5,990","5,649","5,705","5,288","5,143","4,594","4,170"
    HDB 1- And 2-Room Flats,"1,736","1,655","1,569","1,449","1,345","1,236","1,140","1,076","1,038",980,868,834,860,819,835,796,760,762,698,685,626,587
    HDB 3-Room Flats,"4,147","3,890","3,570","3,262","3,041","2,765","2,592","2,397","2,337","2,177","2,043","1,938","1,767","1,668","1,722","1,597","1,563","1,650","1,534","1,475","1,362","1,230"
    HDB 4-Room Flats,"5,632","5,346","4,898","4,463","4,140","3,719","3,468","3,246","3,070","2,846","2,645","2,496","2,311","2,208","2,229","2,058","1,892","1,945","1,821","1,757","1,552","1,410"
    HDB 5-Room And Executive Flats,"3,925","3,745","3,503","3,240","2,936","2,666","2,515","2,395","2,273","2,124","1,986","1,845","1,767","1,692","1,632","1,507","1,401","1,317","1,204","1,178","1,005",901
  Condominiums & Other Apartments,"1,363","1,255","1,187","1,094","1,037",908,818,752,709,673,639,585,526,482,499,461,421,351,301,288,247,192
  Landed Properties,"2,613","2,453","2,271","2,080","1,916","1,798","1,686","1,592","1,517","1,458","1,387","1,257","1,159","1,104","1,083",999,915,817,780,771,693,636
  Other Types Of Dwelling,"2,674","2,531","2,431","2,198","2,039","2,047","1,933","1,908","1,847","1,761","1,772","1,777","1,830","1,685",991,"1,060","1,081",659,521,503,483,433
