Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
    HDB 1- And 2-Room Flats,"7,488","7,742","7,890","7,951","8,018","7,992","7,910","7,748","7,261","6,387","5,675","5,006","4,375","4,052","3,672","3,485","3,419","3,356","3,442","3,630","3,936","4,418"
    HDB 3-Room Flats,"20,073","21,835","22,690","23,112","23,589","24,091","25,258","26,342","26,953","27,971","28,965","28,665","28,647","28,306","28,009","28,547","29,768","31,098","33,729","35,652","37,269","39,875"
    HDB 4-Room Flats,"58,913","61,226","61,676","61,504","61,955","63,307","66,587","70,030","72,883","76,266","79,655","82,176","84,866","87,716","88,873","90,423","91,861","92,479","93,409","92,851","88,660","84,698"
    HDB 5-Room And Executive Flats,"57,304","59,873","61,004","61,836","63,542","65,409","68,612","71,612","74,405","77,508","80,366","81,759","83,653","85,346","85,035","84,757","84,657","82,885","81,418","78,946","73,413","66,600"
  Condominiums & Other Apartments,"42,727","41,933","40,703","38,371","35,337","32,373","30,914","29,532","28,691","28,456","28,560","28,821","28,407","28,718","29,153","28,160","26,700","24,894","23,735","22,387","19,594","16,838"
  Landed Properties,"12,776","12,991","13,191","12,960","12,964","13,264","13,915","14,311","14,558","15,076","15,545","15,942","16,551","17,432","18,239","18,783","19,693","20,071","20,586","21,020","20,331","19,093"
  Other Types Of Dwelling,712,793,772,796,848,934,"1,054","1,052","1,161","1,226","1,307","1,320","1,456","1,480","1,371","1,307","1,345","1,372","1,539","1,711","1,808","1,853"
15-19 Years,"204,913","215,234","222,222","226,520","232,973","239,771","242,902","247,337","255,066","258,861","260,738","263,750","262,775","262,856","257,298","246,547","234,921","227,417","214,074","209,687","210,903","211,286"
  Total HDB Dwellings,"151,259","161,230","168,968","174,718","182,255","190,208","194,575","199,244","206,288","209,863","211,810","214,395","214,281","214,637","210,289","202,341","194,002","188,800","179,276","176,835","179,187","180,828"
    HDB 1- And 2-Room Flats,"8,078","8,307","8,674","8,924","9,237","9,245","9,086","8,595","8,025","7,187","6,549","5,789","5,241","4,853","4,453","4,018","3,892","3,899","3,969","4,225","4,758","5,458"
    HDB 3-Room Flats,"21,600","23,346","24,481","25,288","26,141","27,316","27,778","28,298","29,039","30,019","30,569","30,999","31,127","31,671","31,328","31,253","31,456","32,472","33,568","35,759","39,382","43,898"
    HDB 4-Room Flats,"59,665","63,888","67,299","69,826","73,143","76,821","79,285","81,794","85,462","87,912","89,612","91,728","92,981","93,927","92,632","89,693","86,504","84,235","79,980","78,532","78,075","77,232"
    HDB 5-Room And Executive Flats,"61,916","65,689","68,514","70,680","73,734","76,659","78,237","80,322","83,210","84,036","84,280","84,881","83,900","83,153","80,748","76,277","71,147","67,237","60,764","57,189","55,409","52,540"
  Condominiums & Other Apartments,"38,440","38,096","37,003","35,440","33,757","31,848","30,192","29,165","28,802","28,551","27,992","27,249","25,966","25,238","24,277","22,408","20,164","18,426","16,040","14,556","13,382","12,263"
  Landed Properties,"14,343","15,006","15,282","15,466","16,087","16,738","17,112","17,759","18,606","19,015","19,509","20,556","20,866","21,334","21,364","20,535","19,539","18,958","17,438","16,875","16,856","16,587"
  Other Types Of Dwelling,871,902,969,896,874,977,"1,023","1,169","1,370","1,432","1,427","1,550","1,662","1,647","1,368","1,263","1,216","1,233","1,320","1,421","1,478","1,608"
20-24 Years,"237,720","244,537","249,079","255,516","259,072","260,854","264,127","263,918","266,889","264,506","255,069","247,190","241,753","225,385","218,485","219,631","218,951","215,217","215,412","216,313","214,636","212,236"
  Total HDB Dwellings,"186,122","192,423","197,454","203,941","208,219","211,026","215,017","216,055","219,254","218,221","211,443","205,486","201,936","189,599","184,184","185,583","185,863","183,668","184,423","185,589","184,248","183,046"
    HDB 1- And 2-Room Flats,"9,924","9,929","9,939","10,299","10,523","10,218","10,033","9,581","8,974","8,071","7,081","6,184","5,689","5,334","5,069","5,013","4,996","4,982","5,014","5,139","5,327","5,982"
    HDB 3-Room Flats,"26,463","27,456","27,918","28,619","29,373","30,481","31,694","32,658","33,620","34,252","34,270","34,191","34,979","34,136","34,678","36,356","38,314","39,925","42,597","45,861","49,198","52,895"
    HDB 4-Room Flats,"76,014","78,951","81,519","84,571","86,804","88,330","90,525","91,746","93,938","94,145","92,261","90,636","89,534","84,696","82,811","83,475","83,192","81,742","81,341","81,007","78,151","75,437"
    HDB 5-Room And Executive Flats,"73,721","76,087","78,078","80,452","81,519","81,762","82,515","81,744","82,014","80,895","77,032","73,581","70,879","64,619","60,754","59,849","58,495","56,104","54,511","52,427","50,074","47,144"
  Condominiums & Other Apartments,"34,240","33,817","32,712","32,063","30,866","29,040","27,421","25,721","24,705","23,409","21,898","20,575","19,244","17,267","16,789","16,562","15,745","14,546","13,645","12,945","12,019","10,869"
