[(0.2931549276886085, 16308737364.61119, 0.291177998577407),
 (0.3019244812481824, 16107124493.914408, 0.2999406412838833),
 (0.32529241030909206, 15565286215.591545, 0.32349040386216743),
 (0.3437590089613527, 15110961096.854904, 0.3432366069409083),
 (0.3443872965533784, 15095517791.501438, 0.3439078149176201),
 (0.39913324654094107, 13806740070.665071, 0.3999215934860544),
 (0.3995610118463271, 13795878566.506119, 0.4003936639440111),
 (0.3996145464696219, 13794050982.088715, 0.4004730957243845),
 (0.4267953867903148, 13152662632.477703, 0.4283495746630255),
 (0.4540644736962538, 12530976374.886517, 0.45536974719452494),
 (0.4756440986761128, 12017493887.021088, 0.477687090138192),
 (0.5006859307398717, 11436336533.890331, 0.5029457664524893),
 (0.5315064563812155, 10742994264.682158, 0.5330803037832238),
 (0.5614702184093093, 10055853585.47425, 0.5629453031762433),
 (0.6008168801124106, 9179033678.723516, 0.6010542767463776),
 (0.6108382520434361, 8953466357.31388, 0.6108580449132532),
 (0.6116355899005519, 8931899753.02148, 0.6117953880856069),
 (0.623518491997718, 8652489911.752575, 0.6239392983392082),
 (0.6306655367048384, 8485296862.99399, 0.6312059621400592),
 (0.6332482057012521, 8428115835.574191, 0.633691204828868),
 (0.6396369923047489, 8273626337.142183, 0.640405737844463),
 (0.6463246795246931, 8117712802.107225, 0.6471821633568486),
 (0.6464202004015089, 8114824995.373251, 0.6473076752774305),
 (0.6697619063598053, 7597989874.266224, 0.6697707327636289),
 (0.6752996733077181, 7463213205.128476, 0.6756284927009855),
 (0.6812463674578815, 7336734625.984154, 0.6811255951192694),
 (0.6848591439170332, 7255807163.318527, 0.6846429223515527),
 (0.6902872900723627, 7127048343.200852, 0.6902391302330202),
 (0.7025100089712916, 6858396384.635274, 0.7019154736984416),
 (0.7128168870790512, 6618457502.72521, 0.712343868901104),
 (0.7229705149931984, 6382649595.228651, 0.7225927207408349),
 (0.7360791424222363, 6092616366.984347, 0.7351983522331467),
 (0.7369346706751192, 6073599733.562081, 0.7360248667487301),
 (0.741957185101364, 5949085145.865826, 0.7414366087667654),
 (0.7469444249091721, 5853620744.979276, 0.7455857507995416),
